DbPrevious,DbNext,DbVersion,Id,DbName,DbKey,FieldId,FieldLocstart,FieldLocend,FieldDist,FieldTimeempty,FieldTimeloaded,FieldClosed,FieldFactor,FieldStreet,FieldResist
-1,34561208,3,3290296,pitdat.ddb,3290296,0010FC00,1113088,1415688,169,28,25,0,100,,0
34561208,3290764,9,3290608,pitdat.ddb,3290608,00110FEC,1118188,1327288,300,51,53,0,100,,0
3290608,3290920,3,3290764,pitdat.ddb,3290764,00111D34,1121588,1320488,143,20,25,0,100,,0
3290764,3291232,8,3290920,pitdat.ddb,3290920,001123D8,1123288,1322188,140,36,32,0,100,,0
3290920,3291544,12,3291232,pitdat.ddb,3291232,001137C4,1128388,1279688,170,38,22,0,100,,0
3291232,34560888,6,3291544,pitdat.ddb,3291544,00115F9C,1138588,1376588,123,21,26,1,100,,0
34560888,3291856,2,3291700,pitdat.ddb,3291700,00116CE4,1141988,1420788,115,15,19,0,100,,0
3291700,3292012,154,3291856,pitdat.ddb,3291856,117388,1143688,1427588,274,35,37,0,100,,0
3291856,3292168,9,3292012,pitdat.ddb,3292012,00117A2C,1145388,1437788,520,74,85,0,100,,0
3292012,46030216,2,3292168,pitdat.ddb,3292168,001180D0,1147088,1429288,266,37,40,0,100,,0
46030216,3292636,950,3292480,pitdat.ddb,3292480,1.18e+20,1150488,1266088,112,22,16,0,100,,0
3292480,3292792,5898,3292636,pitdat.ddb,3292636,001194BC,1152188,1266088,321,49,53,0,100,,0
3292636,3292948,1,3292792,pitdat.ddb,3292792,00119B60,1153888,1449688,112,13,16,0,100,,0
3292792,3293104,1,3292948,pitdat.ddb,3292948,0011A204,1155588,1456488,109,18,20,0,100,,0
3292948,3293260,3,3293104,pitdat.ddb,3293104,0011A8A8,1157288,1279688,202,30,42,0,100,,0
3293104,19197572,4,3293260,pitdat.ddb,3293260,0011AF4C,1158988,1483688,86,11,12,0,100,,0
19197572,3295444,16,3295288,pitdat.ddb,3295288,00122D78,1191288,1437788,347,49,53,0,100,,0
3295288,3295600,2694,3295444,pitdat.ddb,3295444,0012341C,1192988,1264388,200,58,68,0,100,,0
3295444,3295756,583,3295600,pitdat.ddb,3295600,00123AC0,1194688,1398688,235,88,55,0,100,,0
3295600,3295912,2,3295756,pitdat.ddb,3295756,124164,1196388,1305188,462,118,89,0,100,,0
3295756,47091944,6,3295912,pitdat.ddb,3295912,124808,1198088,1323888,171,25,18,0,100,,0
38656292,3299656,12,3299500,pitdat.ddb,3299500,0013232C,1254188,1318788,201,36,25,0,100,,0
3299500,3299812,1,3299656,pitdat.ddb,3299656,133074,1257588,1368088,43,8,7,1,100,,0
3299656,3299968,676,3299812,pitdat.ddb,3299812,133074,1257588,1361288,36,8,6,0,100,,0
3299812,3300124,18684,3299968,pitdat.ddb,3299968,00133DBC,1260988,1391888,325,45,40,0,100,,0
3299968,3300280,18988,3300124,pitdat.ddb,3300124,00133DBC,1260988,1262688,465,83,88,0,100,,0
3300124,3300592,18703,3300280,pitdat.ddb,3300280,134460,1262688,1260988,465,51,61,0,100,,0
3300280,3300748,18973,3300592,pitdat.ddb,3300592,134460,1262688,1402088,349,77,92,0,100,,0
3300592,3301060,11731,3300748,pitdat.ddb,3300748,00134B04,1264388,1402088,264,46,44,0,100,,0
3300748,27867380,2677,3301060,pitdat.ddb,3301060,00134B04,1264388,1192988,200,47,30,0,100,,0
46029576,3301372,6126,3301216,pitdat.ddb,3301216,001351A8,1266088,1442888,132,14,19,0,100,,0
3301216,3301528,950,3301372,pitdat.ddb,3301372,001351A8,1266088,1150488,112,15,19,0,100,,0
3301372,3301684,5971,3301528,pitdat.ddb,3301528,001351A8,1266088,1152188,321,61,55,0,100,,0
3301528,3301840,3,3301684,pitdat.ddb,3301684,001351A8,1266088,1495588,137,21,17,0,100,,0
3301684,3301996,57,3301840,pitdat.ddb,3301840,001351A8,1266088,1509188,143,30,28,0,100,,0
3301840,3302152,364,3301996,pitdat.ddb,3301996,0013584C,1267788,1274588,382,88,87,0,100,,0
3301996,3302308,36,3302152,pitdat.ddb,3302152,0013584C,1267788,1276288,209,38,30,0,100,,0
3302152,3302464,295,3302308,pitdat.ddb,3302308,0013584C,1267788,1527888,725,296,221,0,100,,0
3302308,3302620,4051,3302464,pitdat.ddb,3302464,00135EF0,1269488,1379988,101,22,18,0,100,,0
3302464,3302776,331,3302620,pitdat.ddb,3302620,00135EF0,1269488,1271188,168,26,26,0,100,,0
3302620,3302932,1,3302776,pitdat.ddb,3302776,00135EF0,1269488,1386788,37,6,9,1,100,,0
3302776,3303088,3404,3302932,pitdat.ddb,3302932,00135EF0,1269488,1361288,68,11,21,0,100,,0
3302932,3303244,378,3303088,pitdat.ddb,3303088,136594,1271188,1269488,168,23,29,0,100,,0
3303088,3303400,331,3303244,pitdat.ddb,3303244,136594,1271188,1272888,206,26,35,0,100,,0
3303244,3303556,377,3303400,pitdat.ddb,3303400,00136C38,1272888,1271188,206,33,59,0,100,,0
3303400,3303712,331,3303556,pitdat.ddb,3303556,00136C38,1272888,1274588,382,44,55,0,100,,0
3303556,3303868,312,3303712,pitdat.ddb,3303712,001372DC,1274588,1267788,382,108,50,0,100,,0
3303712,3304024,379,3303868,pitdat.ddb,3303868,001372DC,1274588,1272888,382,58,103,0,100,,0
3303868,3304180,82,3304024,pitdat.ddb,3304024,137980,1276288,1267788,209,28,33,0,100,,0
3304024,3304336,36,3304180,pitdat.ddb,3304180,137980,1276288,1277988,182,30,25,0,100,,0
3304180,3304492,15,3304336,pitdat.ddb,3304336,138024,1277988,1279688,183,19,16,0,100,,0
3304336,3304648,83,3304492,pitdat.ddb,3304492,138024,1277988,1276288,182,24,36,0,100,,0
3304492,3304804,55,3304648,pitdat.ddb,3304648,001386C8,1279688,1277988,183,21,49,0,100,,0
3304648,3304960,14,3304804,pitdat.ddb,3304804,001386C8,1279688,1281388,82,11,16,0,100,,0
