Id,FieldId,FieldPit,PitName,FieldRegion,RegionName,FieldBlendrec,BlendName,FieldPath,PathName,FieldBean,BeanName,FieldInvbean,InvBeanName,FieldHaul,FieldOre,FieldDumpfeed,FieldDumpcapy,FieldBinsize,FieldXloc,FieldYloc,FieldPathix,FieldTimedump,FieldZloc,FieldSignid,FieldUnit,Unit,FieldLoad,Load,FieldIstiedown,FieldStatus,Status,FieldLinestat,Linestat,FieldSpillage,FieldSignpost,FieldShoptype,Shoptype,FieldDumpqueue,FieldPctcapy,FieldBays,FieldNopenalty,FieldTimelast,FieldRadius,FieldGpstype,Gpstype,FieldReason
1113088,BOT/NIVE-PRISMA1,1184488,DLB,1259288,MINA,-1,,3359576,,-1,,-1,,0,0,0,10000000000,0,97738,96987,0,60,3360.0,65535,266,Botadero,95,Nieve,0,247,Panne,247,Panne,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1114788,BOT_BBG_STK_ENAEX_PIT,1184488,DLB,1259288,MINA,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,99493,100480,65535,69,3550.0,65535,266,Botadero,92,Esteril,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1116488,BOT_BGAR_CORRUGAD_C1_C2,1184488,DLB,1259288,MINA,-1,,34562460,,-1,,-1,,0,0,0,3500,0,99208,99032,1,85,3430.0,12,266,Botadero,110,Esteril Clase 1,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1118188,BOT_CONST_RAMPA_IS6,1184488,DLB,1215088,INFIERNILLO 6,-1,,3690500,,-1,,-1,,0,0,0,10000000000,0,101608,99001,2,116,3950.0,65535,266,Botadero,92,Esteril,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1119888,D02-3805-993,1184488,DLB,1186188,DONOSO 2,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,101409,100877,65535,60,3805.0,65535,269,Banco,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1121588,BOT_CURVA_6,1184488,DLB,1215088,INFIERNILLO 6,-1,,3611564,,-1,,-1,,0,0,0,10000000000,0,100649,98290,3,65,3880.0,26,266,Botadero,93,Remanejo,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1123288,BOT_CURVA_7,1184488,DLB,1215088,INFIERNILLO 6,-1,,3669248,,-1,,-1,,0,0,0,10000000000,0,101058,98238,4,74,3880.0,70,266,Botadero,92,Esteril,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1124988,BOT_D2_ESTANDAR,1184488,DLB,1186188,DONOSO 2,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,100485,101401,65535,76,3775.0,65535,266,Botadero,110,Esteril Clase 1,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1126688,BOT_EST_CRATER,1184488,DLB,1186188,DONOSO 2,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,100315,100751,65535,59,3000.0,65535,266,Botadero,90,Mineral,0,247,Panne,247,Panne,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1128388,BOT_INF_08,1184488,DLB,1220188,INFIERNILLO 8,-1,,3927308,,-1,,-1,,0,0,0,10000000000,0,99364,99124,5,61,3400.0,99,266,Botadero,1134,Esteril Clase 2,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1130088,BOT_INF5,1184488,DLB,1213388,INFIERNILLO 5,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,101610,99902,65535,76,3325.0,97,266,Botadero,1134,Esteril Clase 2,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,9,397,Punto Final D,-1
1131788,BOT_INF7A_ESTANDAR,1184488,DLB,1216788,INFIERNILLO 7A,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,100299,99445,65535,71,3245.0,65535,266,Botadero,1134,Esteril Clase 2,0,247,Panne,247,Panne,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1133488,BOT_INF7A_RAMPA AUX,1184488,DLB,1216788,INFIERNILLO 7A,-1,,-1,,-1,,-1,,0,0,0,300,0,100643,99203,65535,87,3205.0,65535,266,Botadero,90,Mineral,0,247,Panne,247,Panne,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1135188,BOT_RAMPA_3295-3310,1184488,DLB,1213388,INFIERNILLO 5,-1,,-1,,47844572,D_BOT_RAMPA_3295-33,-1,,0,1530,0,10000000000,0,101200,99206,65535,61,3295.0,65535,266,Botadero,91,Lixiviable,0,247,Panne,247,Panne,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1136888,BOT_SOBRECARGA_D2,1184488,DLB,1186188,DONOSO 2,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,101615,101649,65535,68,3900.0,89,266,Botadero,93,Remanejo,0,247,Panne,247,Panne,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1138588,BOT_ZIGZAG,1184488,DLB,1259288,MINA,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,99565,99210,65535,80,3430.0,48,266,Botadero,1134,Esteril Clase 2,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1140288,BSF_3475_ESTC1,1184488,DLB,1259288,MINA,-1,,34565500,,-1,,-1,,0,0,0,10000000000,0,98889,98994,6,66,3436.0,65535,266,Botadero,91,Lixiviable,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1141988,BSF_3490_EST_C1,1184488,DLB,1259288,MINA,-1,,3781580,,-1,,-1,,0,0,0,10000000000,0,98207,97271,7,72,3490.0,93,266,Botadero,110,Esteril Clase 1,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1143688,BSF_3535_C1,1184488,DLB,1259288,MINA,-1,,35015984,,-1,,-1,,0,0,0,10000000000,0,98162,97878,8,67,3535.0,31,266,Botadero,1134,Esteril Clase 2,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1145388,BSF_3535_EST,1184488,DLB,1259288,MINA,-1,,3860516,,-1,,-1,,0,0,0,10000000000,0,98600,98730,9,67,3535.0,120,266,Botadero,1134,Esteril Clase 2,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1147088,BSF_3535_LIX,1184488,DLB,1259288,MINA,-1,,3699608,,-1,,-1,,0,0,0,10000000000,0,97822,97940,10,76,3535.0,60,266,Botadero,95,Nieve,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1148788,BSF_3570_EST,1184488,DLB,1259288,MINA,-1,,3708716,,-1,,-1,,0,0,0,4000,0,98427,98490,11,72,3570.0,39,266,Botadero,110,Esteril Clase 1,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1150488,BSF_3590_EST,1184488,DLB,1259288,MINA,-1,,3799796,,-1,,-1,,0,0,0,10000000000,0,98548,97761,12,110,3600.0,95,266,Botadero,1134,Esteril Clase 2,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1152188,BSF_3590_LIX,1184488,DLB,1259288,MINA,-1,,3796760,,47818748,D_BSF_3590_LIX,-1,,0,15300,0,10000000000,0,98388,97602,13,63,3600.0,3,266,Botadero,1129,Mineral Primario,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1153888,BSF_BOS_3282_EST,1184488,DLB,1259288,MINA,-1,,3362612,,-1,,-1,,0,0,0,10000000000,0,96775,97437,14,69,3294.0,65535,266,Botadero,110,Esteril Clase 1,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1155588,BSF-3200-PRISMA,1184488,DLB,1259288,MINA,-1,,3365648,,-1,,-1,,0,0,0,10000000000,0,96681,97014,15,87,3075.0,9007,266,Botadero,92,Esteril,0,247,Panne,247,Panne,0,1,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1157288,CACHIMBA BGAR_C1,1184488,DLB,1259288,MINA,-1,,3368684,,-1,,-1,,0,0,0,10000000000,0,99280,99339,16,60,3390.0,43,270,Taller,90,Mineral,0,247,Panne,247,Panne,0,1,1008,Agua,0,100,0,0,0,0,394,Desabilitado,-1
